n_im,nt,nt,nt,nt_norm,nt_norm,nt_norm,steady,steady,steady,sample_id,parent_id,perm_id,rotate,ksim,alph_k
,mean,std,sem,mean,std,sem,mean,std,sem,,,,,,
12,109.66872718288134,,,103.03973820776135,,,6.6289889751199995,,,0,12345,5,3.141592653589793,2.6982786226110566e-06,0.4
3,1.3479091249074622,,,-0.45669707630160983,,,1.804606201209072,,,0,12345,6,0.0,0.28868679127047286,0.4
6,1.3374471453415124,,,-2.1831660777556854,,,3.520613223097198,,,0,12345,6,0.0,0.28868679127047286,0.4
9,1.3356830782338567,,,-3.753250885750117,,,5.0889339639839735,,,0,12345,6,0.0,0.28868679127047286,0.4
12,1.335320575335413,,,-5.293667636478947,,,6.6289882118143595,,,0,12345,6,0.0,0.28868679127047286,0.4
3,6.959238583995636,,,5.154632382786564,,,1.804606201209072,,,0,12345,6,1.5707963267948966,0.028782830246681015,0.4
6,7.089119802336678,,,3.56850657923948,,,3.520613223097198,,,0,12345,6,1.5707963267948966,0.028782830246681015,0.4
9,7.112958600300284,,,2.0240246363163106,,,5.0889339639839735,,,0,12345,6,1.5707963267948966,0.028782830246681015,0.4
12,7.117942484012125,,,0.4889542721977653,,,6.6289882118143595,,,0,12345,6,1.5707963267948966,0.028782830246681015,0.4
3,8.69442973908344,,,6.889823537874367,,,1.804606201209072,,,0,12345,6,1.5990706606772047,0.02775851301179275,0.4
6,9.239237334158863,,,5.718624111061665,,,3.520613223097198,,,0,12345,6,1.5990706606772047,0.02775851301179275,0.4
9,9.35212878212332,,,4.263194818139346,,,5.0889339639839735,,,0,12345,6,1.5990706606772047,0.02775851301179275,0.4
12,9.376325004327839,,,2.7473367925134795,,,6.6289882118143595,,,0,12345,6,1.5990706606772047,0.02775851301179275,0.4
3,11.867995694559408,,,10.063389493350336,,,1.804606201209072,,,0,12345,6,1.8849555921538759,0.025709428826417708,0.4
6,13.63370251332338,,,10.113089290226181,,,3.520613223097198,,,0,12345,6,1.8849555921538759,0.025709428826417708,0.4
9,14.032439641651509,,,8.943505677667535,,,5.0889339639839735,,,0,12345,6,1.8849555921538759,0.025709428826417708,0.4
12,14.118639959201507,,,7.489651747387148,,,6.6289882118143595,,,0,12345,6,1.8849555921538759,0.025709428826417708,0.4
3,31.83614291111001,,,30.031536709900937,,,1.804606201209072,,,0,12345,6,3.141592653589793,2.6982786226110557e-06,0.4
6,59.4176389906779,,,55.8970257675807,,,3.520613223097198,,,0,12345,6,3.141592653589793,2.6982786226110557e-06,0.4
9,86.94680657805054,,,81.85787261406657,,,5.0889339639839735,,,0,12345,6,3.141592653589793,2.6982786226110557e-06,0.4
12,109.73965718373256,,,103.1106689719182,,,6.6289882118143595,,,0,12345,6,3.141592653589793,2.6982786226110557e-06,0.4
3,1.3479089355606475,,,-0.456696240022161,,,1.8046051755828085,,,0,12345,7,0.0,0.28868679127047286,0.4
6,1.3374472573787068,,,-2.1831660542071387,,,3.5206133115858456,,,0,12345,7,0.0,0.28868679127047286,0.4
9,1.3356832282840099,,,-3.75325081296259,,,5.0889340412466,,,0,12345,7,0.0,0.28868679127047286,0.4
12,1.3353204860225474,,,-5.29366797882318,,,6.628988464845727,,,0,12345,7,0.0,0.28868679127047286,0.4
3,6.9592405730282545,,,5.154635397445446,,,1.8046051755828085,,,0,12345,7,1.5707963267948966,0.028782830246681015,0.4
6,7.089118425176269,,,3.5685051135904238,,,3.5206133115858456,,,0,12345,7,1.5707963267948966,0.028782830246681015,0.4
9,7.112957216894308,,,2.0240231756477076,,,5.0889340412466,,,0,12345,7,1.5707963267948966,0.028782830246681015,0.4
12,7.117943002923357,,,0.4889545380776301,,,6.628988464845727,,,0,12345,7,1.5707963267948966,0.028782830246681015,0.4
3,8.694436851533087,,,6.889831675950279,,,1.8046051755828085,,,0,12345,7,1.5990706606772047,0.027758513011792746,0.4
6,9.239230721490946,,,5.7186174099051,,,3.5206133115858456,,,0,12345,7,1.5990706606772047,0.027758513011792746,0.4
9,9.352125065670606,,,4.263191024424006,,,5.0889340412466,,,0,12345,7,1.5990706606772047,0.027758513011792746,0.4
12,9.376310841575108,,,2.7473223767293815,,,6.628988464845727,,,0,12345,7,1.5990706606772047,0.027758513011792746,0.4
3,11.867989554859067,,,10.063384379276258,,,1.8046051755828085,,,0,12345,7,1.8849555921538759,0.025709428826417705,0.4
6,13.633676266406281,,,10.113062954820435,,,3.5206133115858456,,,0,12345,7,1.8849555921538759,0.025709428826417705,0.4
9,14.032813100202796,,,8.943879058956195,,,5.0889340412466,,,0,12345,7,1.8849555921538759,0.025709428826417705,0.4
12,14.11711440120689,,,7.488125936361164,,,6.628988464845727,,,0,12345,7,1.8849555921538759,0.025709428826417705,0.4
3,31.836144458375756,,,30.03153928279295,,,1.8046051755828085,,,0,12345,7,3.141592653589793,2.6982786226110557e-06,0.4
6,59.41816928999495,,,55.8975559784091,,,3.5206133115858456,,,0,12345,7,3.141592653589793,2.6982786226110557e-06,0.4
9,86.96004521140583,,,81.87111117015922,,,5.0889340412466,,,0,12345,7,3.141592653589793,2.6982786226110557e-06,0.4
12,109.55601948062748,,,102.92703101578175,,,6.628988464845727,,,0,12345,7,3.141592653589793,2.6982786226110557e-06,0.4
3,1.3479096926119902,,,-0.45669691684053815,,,1.8046066094525284,,,0,12345,8,0.0,0.28868679127047286,0.4
6,1.3374472042702692,,,-2.1831661513720704,,,3.5206133556423396,,,0,12345,8,0.0,0.28868679127047286,0.4
9,1.3356829520681543,,,-3.7532508386896906,,,5.088933790757845,,,0,12345,8,0.0,0.28868679127047286,0.4
12,1.3353205423237762,,,-5.2936680615015925,,,6.628988603825369,,,0,12345,8,0.0,0.28868679127047286,0.4
3,6.959231888211867,,,5.1546252787593385,,,1.8046066094525284,,,0,12345,8,1.5707963267948966,0.028782830246681015,0.4
6,7.08911893277269,,,3.5685055771303507,,,3.5206133556423396,,,0,12345,8,1.5707963267948966,0.028782830246681015,0.4
9,7.112960518060872,,,2.024026727303027,,,5.088933790757845,,,0,12345,8,1.5707963267948966,0.028782830246681015,0.4
12,7.1179421673441325,,,0.4889535635187636,,,6.628988603825369,,,0,12345,8,1.5707963267948966,0.028782830246681015,0.4
3,8.694404522401125,,,6.889797912948597,,,1.8046066094525284,,,0,12345,8,1.5990706606772047,0.02775851301179275,0.4
6,9.239232525667461,,,5.718619170025121,,,3.5206133556423396,,,0,12345,8,1.5990706606772047,0.02775851301179275,0.4
9,9.352139192340623,,,4.263205401582778,,,5.088933790757845,,,0,12345,8,1.5990706606772047,0.02775851301179275,0.4
12,9.37631087450758,,,2.7473222706822105,,,6.628988603825369,,,0,12345,8,1.5990706606772047,0.02775851301179275,0.4
3,11.86792440527663,,,10.063317795824101,,,1.8046066094525284,,,0,12345,8,1.8849555921538759,0.025709428826417708,0.4
6,13.633623092974998,,,10.113009737332659,,,3.5206133556423396,,,0,12345,8,1.8849555921538759,0.025709428826417708,0.4
9,14.032612682132045,,,8.943678891374201,,,5.088933790757845,,,0,12345,8,1.8849555921538759,0.025709428826417708,0.4
12,14.11740022435696,,,7.488411620531591,,,6.628988603825369,,,0,12345,8,1.8849555921538759,0.025709428826417708,0.4
3,31.836142542209547,,,30.03153593275702,,,1.8046066094525284,,,0,12345,8,3.141592653589793,2.6982786226110566e-06,0.4
6,59.41772203066812,,,55.897108675025784,,,3.5206133556423396,,,0,12345,8,3.141592653589793,2.6982786226110566e-06,0.4
9,86.95529351547042,,,81.86635972471257,,,5.088933790757845,,,0,12345,8,3.141592653589793,2.6982786226110566e-06,0.4
12,109.53293841761092,,,102.90394981378556,,,6.628988603825369,,,0,12345,8,3.141592653589793,2.6982786226110566e-06,0.4
3,1.3479095821951157,,,-0.45669664136359267,,,1.8046062235587084,,,0,12345,9,0.0,0.28868679127047286,0.4
6,1.337447304859092,,,-2.183166081255406,,,3.5206133861144977,,,0,12345,9,0.0,0.28868679127047286,0.4
9,1.3356829890898179,,,-3.753250838349729,,,5.088933827439547,,,0,12345,9,0.0,0.28868679127047286,0.4
12,1.3353206215566649,,,-5.293667989382332,,,6.628988610938997,,,0,12345,9,0.0,0.28868679127047286,0.4
3,6.959233289574858,,,5.1546270660161495,,,1.8046062235587084,,,0,12345,9,1.5707963267948966,0.028782830246681015,0.4
6,7.0891176307017965,,,3.5685042445872988,,,3.5206133861144977,,,0,12345,9,1.5707963267948966,0.028782830246681015,0.4
9,7.112959901861656,,,2.0240260744221086,,,5.088933827439547,,,0,12345,9,1.5707963267948966,0.028782830246681015,0.4
12,7.1179413757877,,,0.48895276484870287,,,6.628988610938997,,,0,12345,9,1.5707963267948966,0.028782830246681015,0.4
3,8.694410200443029,,,6.889803976884321,,,1.8046062235587084,,,0,12345,9,1.5990706606772047,0.027758513011792746,0.4
6,9.23922802832807,,,5.718614642213572,,,3.5206133861144977,,,0,12345,9,1.5990706606772047,0.027758513011792746,0.4
9,9.35213841675835,,,4.2632045893188035,,,5.088933827439547,,,0,12345,9,1.5990706606772047,0.027758513011792746,0.4
12,9.376306645634122,,,2.747318034695125,,,6.628988610938997,,,0,12345,9,1.5990706606772047,0.027758513011792746,0.4
3,11.86794437571895,,,10.063338152160242,,,1.8046062235587084,,,0,12345,9,1.8849555921538759,0.025709428826417708,0.4
6,13.633704962714178,,,10.11309157659968,,,3.5206133861144977,,,0,12345,9,1.8849555921538759,0.025709428826417708,0.4
9,14.032742629026206,,,8.943808801586659,,,5.088933827439547,,,0,12345,9,1.8849555921538759,0.025709428826417708,0.4
12,14.117438900014896,,,7.4884502890758995,,,6.628988610938997,,,0,12345,9,1.8849555921538759,0.025709428826417708,0.4
