Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,coef,shift,train_rss,train_mse,train_nmse
47,4,4,8,0.0,1e-06,2.6666666666666665,47,,7,47.0,0.03500400509143137,-0.0022417063189632686,0.0004181868327958602,2.090934163979301e-05,0.04774800417686707
48,4,4,8,0.01,0.1,2.6666666666666665,48,,0,48.0,-2.7458026341524655,11.826810442712667,0.0006455767712933512,3.227883856466756e-05,0.07371107829033598
49,4,4,8,0.01,0.01,2.6666666666666665,49,,1,49.0,-0.01587739068947283,0.1379440022572116,0.0007608536255236652,3.804268127618326e-05,0.08687323282419729
50,4,4,8,0.01,0.001,2.6666666666666665,50,,2,50.0,0.030567221999496567,-0.02148682299789024,0.0006933403577986536,3.4667017889932684e-05,0.07916465967813312
51,4,4,8,0.01,0.0001,2.6666666666666665,51,,3,51.0,0.041326490011749345,-0.02126571527629066,0.0003825874727016007,1.9129373635080035e-05,0.043683317627292564
52,4,4,8,0.01,1e-05,2.6666666666666665,52,,4,52.0,0.037553316256480014,-0.006858274420364166,0.0003455484614546943,1.7277423072734717e-05,0.03945425366585591
53,4,4,8,0.01,1e-06,2.6666666666666665,53,,5,53.0,0.03696411057323338,-0.004965832585297543,0.0003433109222138348,1.716554611069174e-05,0.03919877447655627
54,4,4,8,0.1,0.1,2.6666666666666665,54,,6,54.0,-3.0545947485996408,13.205721064850136,0.0006510137675945037,3.255068837972518e-05,0.07433186713813733
55,4,4,8,0.1,0.01,2.6666666666666665,55,,7,55.0,2.0833985728605224,-8.818916499901224,0.00015197216353760284,7.598608176880142e-06,0.01735197507498572
56,4,4,8,0.1,0.001,2.6666666666666665,56,,0,56.0,0.1293300231345122,-0.43085704484948434,7.770151838677238e-05,3.885075919338619e-06,0.008871853758943242
57,4,4,8,0.1,0.0001,2.6666666666666665,57,,1,57.0,0.032837803621807465,-0.0063466029394645615,2.9258239746612133e-05,1.4629119873306067e-06,0.0033406660470129564
58,4,4,8,0.1,1e-05,2.6666666666666665,58,,2,58.0,0.028770399622755665,0.016662410717269045,3.169725293949925e-05,1.5848626469749625e-06,0.003619149258315445
59,4,4,8,0.1,1e-06,2.6666666666666665,59,,3,59.0,0.02899733109140654,0.017904822279631912,4.0203271889035335e-05,2.010163594451767e-06,0.004590354940750743
60,4,4,8,0.2,0.1,2.6666666666666665,60,,4,60.0,-4.006025219997946,17.3034982157237,0.000537564024455246,2.68782012227623e-05,0.06137832966527744
61,4,4,8,0.2,0.01,2.6666666666666665,61,,5,61.0,3.8068816159935728,-16.244818921972296,0.0004166862844921594,2.083431422460797e-05,0.04757667361106786
62,4,4,8,0.2,0.001,2.6666666666666665,62,,6,62.0,0.32932120276686083,-1.2848828047790892,9.52900198470575e-05,4.764500992352875e-06,0.010880084949714585
63,4,4,8,0.2,0.0001,2.6666666666666665,63,,7,63.0,0.03143618393178031,-0.011539039246113023,3.490200855651405e-05,1.7451004278257025e-06,0.003985063898821973
64,4,4,8,0.2,1e-05,2.6666666666666665,64,,0,64.0,0.024413401601721084,0.024963349758393448,2.386123054340144e-05,1.193061527170072e-06,0.0027244428717048763
65,4,4,8,0.2,1e-06,2.6666666666666665,65,,1,65.0,0.02383989625434367,0.028726452301470338,2.179160065003482e-05,1.089580032501741e-06,0.002488135343482728
66,4,4,8,0.5,0.1,2.6666666666666665,66,,2,66.0,-4.264827726597929,18.421125122217685,0.0004695391938889008,2.347695969444504e-05,0.05361134696929649
67,4,4,8,0.5,0.01,2.6666666666666665,67,,3,67.0,-3.1822752983353157,13.747267128831986,0.0006449296122328934,3.224648061164467e-05,0.07363718654841947
68,4,4,8,0.5,0.001,2.6666666666666665,68,,4,68.0,1.6795207281016562,-7.054019765748048,0.00018463847995651219,9.23192399782561e-06,0.021081770684247155
69,4,4,8,0.5,0.0001,2.6666666666666665,69,,5,69.0,0.04013615302621576,-0.05940400760127561,5.2569235273223556e-05,2.6284617636611776e-06,0.006002283832369948
