Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
134,4,8,8,0.01,0.001,2.6666666666666665,134,,6,134.0,4.171486621606649e-05,2.2397665155913894e-06,2.2397665155913894e-06
135,4,8,8,0.01,0.0001,2.6666666666666665,135,,7,135.0,2.4268265079920368e-05,1.9264479959689706e-06,1.9264479959689706e-06
136,4,8,8,0.01,1e-05,2.6666666666666665,136,,0,136.0,1.945171959802738e-05,1.5105686001607383e-06,1.5105686001607383e-06
137,4,8,8,0.01,1e-06,2.6666666666666665,137,,1,137.0,1.9131815751342175e-05,1.472646510655464e-06,1.472646510655464e-06
138,4,8,8,0.1,0.1,2.6666666666666665,138,,2,138.0,3.054032114953593e-05,2.258543323443129e-06,2.258543323443129e-06
139,4,8,8,0.1,0.01,2.6666666666666665,139,,3,139.0,2.0836796508244453e-05,1.0555072641712878e-06,1.0555072641712878e-06
140,4,8,8,0.1,0.001,2.6666666666666665,140,,4,140.0,4.38833288161807e-06,4.134779460077732e-07,4.134779460077732e-07
141,4,8,8,0.1,0.0001,2.6666666666666665,141,,5,141.0,1.8541855858493406e-06,1.240474217179898e-07,1.240474217179898e-07
142,4,8,8,0.1,1e-05,2.6666666666666665,142,,6,142.0,1.7098848251725315e-06,1.0984486811596684e-07,1.0984486811596684e-07
143,4,8,8,0.1,1e-06,2.6666666666666665,143,,7,143.0,2.263471965760438e-06,1.3479184791475798e-07,1.3479184791475798e-07
144,4,8,8,0.2,0.1,2.6666666666666665,144,,0,144.0,2.7489855093685536e-05,2.063524557379817e-06,2.063524557379817e-06
145,4,8,8,0.2,0.01,2.6666666666666665,145,,1,145.0,4.1717989813310295e-05,1.9018360888285843e-06,1.9018360888285843e-06
146,4,8,8,0.2,0.001,2.6666666666666665,146,,2,146.0,5.546169970683962e-06,5.174359903709642e-07,5.174359903709642e-07
147,4,8,8,0.2,0.0001,2.6666666666666665,147,,3,147.0,2.4595687459218066e-06,1.9324236015163125e-07,1.9324236015163125e-07
148,4,8,8,0.2,1e-05,2.6666666666666665,148,,4,148.0,1.3418397453617767e-06,1.0597106211951341e-07,1.0597106211951341e-07
149,4,8,8,0.2,1e-06,2.6666666666666665,149,,5,149.0,1.1823095939884773e-06,1.0144221828426164e-07,1.0144221828426164e-07
150,4,8,8,0.5,0.1,2.6666666666666665,150,,6,150.0,2.5711641944581783e-05,1.93330585266527e-06,1.93330585266527e-06
151,4,8,8,0.5,0.01,2.6666666666666665,151,,7,151.0,3.0241896644806303e-05,2.2534257187800583e-06,2.2534257187800583e-06
152,4,8,8,0.5,0.001,2.6666666666666665,152,,0,152.0,2.0738537815623918e-05,1.2885471013764296e-06,1.2885471013764296e-06
153,4,8,8,0.5,0.0001,2.6666666666666665,153,,1,153.0,5.658524902650893e-06,5.602398367648573e-07,5.602398367648573e-07
154,4,8,8,0.5,1e-05,2.6666666666666665,154,,2,154.0,1.7179085112982635e-06,1.5839215377438138e-07,1.5839215377438138e-07
155,4,8,8,0.5,1e-06,2.6666666666666665,155,,3,155.0,1.4653577495541789e-06,1.2650554134309497e-07,1.2650554134309497e-07
156,4,8,8,0.8,0.1,2.6666666666666665,156,,4,156.0,2.5307869289173075e-05,1.9016295610987961e-06,1.9016295610987961e-06
157,4,8,8,0.8,0.01,2.6666666666666665,157,,5,157.0,2.5847156350902604e-05,1.946729608713267e-06,1.946729608713267e-06
158,4,8,8,0.8,0.001,2.6666666666666665,158,,6,158.0,3.354107672158424e-05,2.4376474902995526e-06,2.4376474902995526e-06
159,4,8,8,0.8,0.0001,2.6666666666666665,159,,7,159.0,8.625790549366688e-06,8.313004893274064e-07,8.313004893274064e-07
