Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
22,4,2,8,0.2,1e-05,2.6666666666666665,22,,6,22.0,1.0025411076160192e-06,1.0055482854244308e-07,1.0055482854244308e-07
23,4,2,8,0.2,1e-06,2.6666666666666665,23,,7,23.0,9.05352046659595e-07,9.76141094732933e-08,9.76141094732933e-08
24,4,2,8,0.5,0.1,2.6666666666666665,24,,0,24.0,3.6403539492778125e-05,2.0466268130562906e-06,2.0466268130562906e-06
25,4,2,8,0.5,0.01,2.6666666666666665,25,,1,25.0,3.53949719664038e-05,1.6783056095415315e-06,1.6783056095415315e-06
26,4,2,8,0.5,0.001,2.6666666666666665,26,,2,26.0,7.447908185661732e-06,6.690147629461186e-07,6.690147629461186e-07
27,4,2,8,0.5,0.0001,2.6666666666666665,27,,3,27.0,1.908052511722024e-06,1.9329177452721618e-07,1.9329177452721618e-07
28,4,2,8,0.5,1e-05,2.6666666666666665,28,,4,28.0,1.3754181218251092e-06,1.2602126822710915e-07,1.2602126822710915e-07
29,4,2,8,0.5,1e-06,2.6666666666666665,29,,5,29.0,1.2710319931088127e-06,1.1481001152577482e-07,1.1481001152577482e-07
30,4,2,8,0.8,0.1,2.6666666666666665,30,,6,30.0,3.487194778436775e-05,1.971950053882491e-06,1.971950053882491e-06
31,4,2,8,0.8,0.01,2.6666666666666665,31,,7,31.0,3.709336428840107e-05,2.0675625563438272e-06,2.0675625563438272e-06
32,4,2,8,0.8,0.001,2.6666666666666665,32,,0,32.0,1.588096243758961e-05,1.2139630193600836e-06,1.2139630193600836e-06
33,4,2,8,0.8,0.0001,2.6666666666666665,33,,1,33.0,2.6958953320375806e-06,2.6787222587412074e-07,2.6787222587412074e-07
34,4,2,8,0.8,1e-05,2.6666666666666665,34,,2,34.0,1.6365742208175427e-06,1.365915108867032e-07,1.365915108867032e-07
35,4,2,8,0.8,1e-06,2.6666666666666665,35,,3,35.0,1.4151674538342184e-06,1.2256655954172977e-07,1.2256655954172977e-07
36,4,2,8,0.9,0.1,2.6666666666666665,36,,4,36.0,3.4669913248244513e-05,1.960063619376953e-06,1.960063619376953e-06
37,4,2,8,0.9,0.01,2.6666666666666665,37,,5,37.0,3.5165481641948756e-05,1.98749324265004e-06,1.98749324265004e-06
38,4,2,8,0.9,0.001,2.6666666666666665,38,,6,38.0,2.9795369130451115e-05,1.8001379882136364e-06,1.8001379882136364e-06
39,4,2,8,0.9,0.0001,2.6666666666666665,39,,7,39.0,3.0336599980921693e-06,2.991576898448841e-07,2.991576898448841e-07
40,4,2,8,0.9,1e-05,2.6666666666666665,40,,0,40.0,1.7179576633052215e-06,1.3724704265170927e-07,1.3724704265170927e-07
41,4,2,8,0.9,1e-06,2.6666666666666665,41,,1,41.0,1.4428355671219314e-06,1.2143361801942084e-07,1.2143361801942084e-07
42,4,4,8,0.0,0.1,2.6666666666666665,42,,2,42.0,2.23446810129125e-05,1.65647194580756e-06,1.65647194580756e-06
43,4,4,8,0.0,0.01,2.6666666666666665,43,,3,43.0,2.6749218865632893e-05,2.0093332502864433e-06,2.0093332502864433e-06
44,4,4,8,0.0,0.001,2.6666666666666665,44,,4,44.0,3.967716122375881e-05,2.074179426875753e-06,2.074179426875753e-06
45,4,4,8,0.0,0.0001,2.6666666666666665,45,,5,45.0,2.5919323509065633e-05,2.110842507223449e-06,2.110842507223449e-06
46,4,4,8,0.0,1e-05,2.6666666666666665,46,,6,46.0,2.2327633308925208e-05,1.803100165498789e-06,1.803100165498789e-06
47,4,4,8,0.0,1e-06,2.6666666666666665,47,,7,47.0,2.199226766182804e-05,1.7671753536941558e-06,1.7671753536941558e-06
48,4,4,8,0.01,0.1,2.6666666666666665,48,,0,48.0,3.375044558207252e-05,2.7568485546446304e-06,2.7568485546446304e-06
49,4,4,8,0.01,0.01,2.6666666666666665,49,,1,49.0,3.982004419233457e-05,2.139158386030004e-06,2.139158386030004e-06
50,4,4,8,0.01,0.001,2.6666666666666665,50,,2,50.0,3.639348147675308e-05,2.3577403364908243e-06,2.3577403364908243e-06
