Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
3,4,10,8,0.6,2.6666666666666665,59,,3,1.3082516214916247e-06,1.3226780124335852e-07,1.3226780124335852e-07
4,4,10,8,0.7,2.6666666666666665,60,,4,1.5661777800770773e-06,1.405880482294059e-07,1.405880482294059e-07
5,4,10,8,0.8,2.6666666666666665,61,,5,2.0877626055705024e-06,1.5402720854822155e-07,1.5402720854822155e-07
6,4,10,8,0.9,2.6666666666666665,62,,6,2.996564921990232e-06,1.8567037123077883e-07,1.8567037123077883e-07
7,4,10,8,0.99,2.6666666666666665,63,,7,5.266914618981506e-06,3.143995053122552e-07,3.143995053122552e-07
0,4,10,8,0.999,2.6666666666666665,64,,0,5.8277599554514e-06,3.4115623748569687e-07,3.4115623748569687e-07
1,8,2,8,0.001,2.6666666666666665,65,,1,2.531891148604109e-05,1.8829466004709826e-06,1.8829466004709826e-06
2,8,2,8,0.01,2.6666666666666665,66,,2,3.902012253439253e-05,2.1112414403238607e-06,2.1112414403238607e-06
3,8,2,8,0.1,2.6666666666666665,67,,3,1.836222845760537e-06,9.728028900676006e-08,9.728028900676006e-08
4,8,2,8,0.2,2.6666666666666665,68,,4,1.1080794630691708e-06,9.941307560596366e-08,9.941307560596366e-08
5,8,2,8,0.3,2.6666666666666665,69,,5,8.953594023047025e-07,1.0405655217537791e-07,1.0405655217537791e-07
6,8,2,8,0.4,2.6666666666666665,70,,6,8.315285809946717e-07,1.0627256739189657e-07,1.0627256739189657e-07
7,8,2,8,0.5,2.6666666666666665,71,,7,8.643037708212909e-07,1.0728589711207656e-07,1.0728589711207656e-07
0,8,2,8,0.6,2.6666666666666665,72,,0,9.87601179274251e-07,1.0869747141930476e-07,1.0869747141930476e-07
1,8,2,8,0.7,2.6666666666666665,73,,1,1.2300700604561748e-06,1.1164328633147913e-07,1.1164328633147913e-07
2,8,2,8,0.8,2.6666666666666665,74,,2,1.787977979448791e-06,1.2708119927163164e-07,1.2708119927163164e-07
3,8,2,8,0.9,2.6666666666666665,75,,3,2.873190317473907e-06,1.8037649611253553e-07,1.8037649611253553e-07
4,8,2,8,0.99,2.6666666666666665,76,,4,5.455988534371016e-06,3.406981488182666e-07,3.406981488182666e-07
5,8,2,8,0.999,2.6666666666666665,77,,5,6.033015195440433e-06,3.7487571843548247e-07,3.7487571843548247e-07
6,8,4,8,0.001,2.6666666666666665,78,,6,2.5244836503939038e-05,1.8645264295524312e-06,1.8645264295524312e-06
7,8,4,8,0.01,2.6666666666666665,79,,7,3.876826491558812e-05,2.1110931135903548e-06,2.1110931135903548e-06
0,8,4,8,0.1,2.6666666666666665,80,,0,2.4217751260719512e-06,1.1369884449696574e-07,1.1369884449696574e-07
1,8,4,8,0.2,2.6666666666666665,81,,1,1.5504794284185663e-06,1.1251594485768813e-07,1.1251594485768813e-07
2,8,4,8,0.3,2.6666666666666665,82,,2,1.3352943954667978e-06,1.1696444974418645e-07,1.1696444974418645e-07
3,8,4,8,0.4,2.6666666666666665,83,,3,1.3142328638834598e-06,1.2005534031601475e-07,1.2005534031601475e-07
4,8,4,8,0.5,2.6666666666666665,84,,4,1.3312035794828632e-06,1.2100631092585262e-07,1.2100631092585262e-07
5,8,4,8,0.6,2.6666666666666665,85,,5,1.423366495987728e-06,1.2125555831158138e-07,1.2125555831158138e-07
6,8,4,8,0.7,2.6666666666666665,86,,6,1.6690851867725797e-06,1.2198809912347674e-07,1.2198809912347674e-07
7,8,4,8,0.8,2.6666666666666665,87,,7,2.1271199096792955e-06,1.2954703964837733e-07,1.2954703964837733e-07
0,8,4,8,0.9,2.6666666666666665,88,,0,3.1267452372041855e-06,1.686903818140922e-07,1.686903818140922e-07
1,8,4,8,0.99,2.6666666666666665,89,,1,5.104551865717603e-06,2.9421636570915445e-07,2.9421636570915445e-07
2,8,4,8,0.999,2.6666666666666665,90,,2,5.6681524682531825e-06,3.2166762143351956e-07,3.2166762143351956e-07
3,8,6,8,0.001,2.6666666666666665,91,,3,2.521676774838026e-05,1.8621188130717393e-06,1.8621188130717393e-06
4,8,6,8,0.01,2.6666666666666665,92,,4,3.8687628275491234e-05,2.1176056890993913e-06,2.1176056890993913e-06
5,8,6,8,0.1,2.6666666666666665,93,,5,2.452617982239526e-06,1.1253373627369967e-07,1.1253373627369967e-07
6,8,6,8,0.2,2.6666666666666665,94,,6,1.5758350827303417e-06,1.1376173369551008e-07,1.1376173369551008e-07
7,8,6,8,0.3,2.6666666666666665,95,,7,1.320409285318382e-06,1.197872259892443e-07,1.197872259892443e-07
0,8,6,8,0.4,2.6666666666666665,96,,0,1.2626609792527544e-06,1.226765978992163e-07,1.226765978992163e-07
1,8,6,8,0.5,2.6666666666666665,97,,1,1.3440888081419693e-06,1.252621621205593e-07,1.252621621205593e-07
2,8,6,8,0.6,2.6666666666666665,98,,2,1.5034336109654628e-06,1.2933516120106425e-07,1.2933516120106425e-07
3,8,6,8,0.7,2.6666666666666665,99,,3,1.7491334207769287e-06,1.3621672037710484e-07,1.3621672037710484e-07
4,8,6,8,0.8,2.6666666666666665,100,,4,2.2398601896474845e-06,1.519016621628308e-07,1.519016621628308e-07
5,8,6,8,0.9,2.6666666666666665,101,,5,3.2199710452148905e-06,1.8890774711014437e-07,1.8890774711014437e-07
6,8,6,8,0.99,2.6666666666666665,102,,6,5.4407376727158e-06,3.1325838471980823e-07,3.1325838471980823e-07
7,8,6,8,0.999,2.6666666666666665,103,,7,6.059681414657933e-06,3.572820064351527e-07,3.572820064351527e-07
0,8,8,8,0.001,2.6666666666666665,104,,0,2.5225437455976767e-05,1.86262711347254e-06,1.86262711347254e-06
1,8,8,8,0.01,2.6666666666666665,105,,1,3.862550872101506e-05,2.118988012682436e-06,2.118988012682436e-06
2,8,8,8,0.1,2.6666666666666665,106,,2,2.6306586228681928e-06,1.1908182717156793e-07,1.1908182717156793e-07
3,8,8,8,0.2,2.6666666666666665,107,,3,1.706472384911864e-06,1.1815452696728971e-07,1.1815452696728971e-07
4,8,8,8,0.3,2.6666666666666665,108,,4,1.4164690371170476e-06,1.240280714083317e-07,1.240280714083317e-07
5,8,8,8,0.4,2.6666666666666665,109,,5,1.329430122689584e-06,1.285239614929859e-07,1.285239614929859e-07
6,8,8,8,0.5,2.6666666666666665,110,,6,1.3937682122251862e-06,1.3246842878663413e-07,1.3246842878663413e-07
7,8,8,8,0.6,2.6666666666666665,111,,7,1.5766423238485963e-06,1.376163774010468e-07,1.376163774010468e-07
0,8,8,8,0.7,2.6666666666666665,112,,0,1.814372888935319e-06,1.4312234960787507e-07,1.4312234960787507e-07
1,8,8,8,0.8,2.6666666666666665,113,,1,2.2432526783837816e-06,1.5035977599578962e-07,1.5035977599578962e-07
2,8,8,8,0.9,2.6666666666666665,114,,2,3.2062410112593747e-06,1.9059111182496403e-07,1.9059111182496403e-07
3,8,8,8,0.99,2.6666666666666665,115,,3,5.432465797948999e-06,3.38723111969515e-07,3.38723111969515e-07
4,8,8,8,0.999,2.6666666666666665,116,,4,5.974961110480693e-06,3.635301537914766e-07,3.635301537914766e-07
5,8,10,8,0.001,2.6666666666666665,117,,5,2.5239130963619086e-05,1.8636792285351201e-06,1.8636792285351201e-06
6,8,10,8,0.01,2.6666666666666665,118,,6,3.8616739705776216e-05,2.11951519088296e-06,2.11951519088296e-06
7,8,10,8,0.1,2.6666666666666665,119,,7,2.677307585527398e-06,1.1985380307174198e-07,1.1985380307174198e-07
0,8,10,8,0.2,2.6666666666666665,120,,0,1.7624204382536816e-06,1.1975792207434216e-07,1.1975792207434216e-07
1,8,10,8,0.3,2.6666666666666665,121,,1,1.47793064811491e-06,1.250177935985308e-07,1.250177935985308e-07
2,8,10,8,0.4,2.6666666666666665,122,,2,1.3831004510779052e-06,1.2834275054435654e-07,1.2834275054435654e-07
3,8,10,8,0.5,2.6666666666666665,123,,3,1.4278631234091416e-06,1.3095805880555155e-07,1.3095805880555155e-07
4,8,10,8,0.6,2.6666666666666665,124,,4,1.6301537356642848e-06,1.3524979803934474e-07,1.3524979803934474e-07
5,8,10,8,0.7,2.6666666666666665,125,,5,1.93624950786276e-06,1.4071844362627728e-07,1.4071844362627728e-07
6,8,10,8,0.8,2.6666666666666665,126,,6,2.4175684879961426e-06,1.5046059193734343e-07,1.5046059193734343e-07
7,8,10,8,0.9,2.6666666666666665,127,,7,3.493234222041597e-06,2.0471664673033958e-07,2.0471664673033958e-07
0,8,10,8,0.99,2.6666666666666665,128,,0,5.836790397022074e-06,3.6506811376318554e-07,3.6506811376318554e-07
1,8,10,8,0.999,2.6666666666666665,129,,1,6.429932841380152e-06,3.9563005614497085e-07,3.9563005614497085e-07
2,16,2,8,0.001,2.6666666666666665,130,,2,2.5431079630711158e-05,1.8843681012814611e-06,1.8843681012814611e-06
