Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,mse_comb,mse_tem,mse_trec,mse_tmem,mse_steady,mse_mean,mse_mean2,coef,shift
1,8,4,8,0.2,2.6666666666666665,81,,1,0.0008834731611830032,1.7911938823609882e-05,1.8653870848279775e-05,4.598649677116109e-05,4.7512298564964325e-05,3.251615125200377e-05,2.777173577998412e-05,0.02595662414647487,0.023977042357796914
2,8,4,8,0.3,2.6666666666666665,82,,2,0.0008738486804824411,8.833570831159087e-06,1.7465505202157787e-05,3.678846169169169e-05,4.968978358735371e-05,2.819433032809057e-05,2.317939955761319e-05,0.02404473106021885,0.02761527546329094
3,8,4,8,0.4,2.6666666666666665,83,,3,0.0008670189611910327,4.283326592022968e-06,2.1033624029268722e-05,3.3093611220748016e-05,5.084132522834069e-05,2.73129717675951e-05,2.242813961527868e-05,0.02299769872758994,0.029390266606982754
4,8,4,8,0.5,2.6666666666666665,84,,4,0.0008635159470596403,3.012535477914382e-06,2.3787499293351744e-05,3.0894660952176046e-05,5.142289626709174e-05,2.727939799763348e-05,2.2652937793633343e-05,0.022238319303121187,0.030576966654462627
5,8,4,8,0.6,2.6666666666666665,85,,5,0.0008614931612313374,4.028625647452167e-06,2.7698471970612374e-05,3.1104012914214476e-05,5.187122199871206e-05,2.867558313274777e-05,2.4404905024842603e-05,0.021657730579645058,0.0314254355112656
6,8,4,8,0.7,2.6666666666666665,86,,6,0.0008620502055901607,7.164329932552019e-06,3.709373246237303e-05,3.3766957623324234e-05,5.224491189291924e-05,3.256748297779213e-05,2.9087999051015596e-05,0.02117312370682166,0.032110648624932195
7,8,4,8,0.8,2.6666666666666665,87,,7,0.0008670356508217756,1.2961336591872687e-05,5.607949577429226e-05,3.6448648373254345e-05,5.2729674078576705e-05,3.9554788704499e-05,3.7876664530693495e-05,0.020811156006539697,0.032598413235046426
0,8,4,8,0.9,2.6666666666666665,88,,0,0.000879862554697462,2.043528009228832e-05,0.00010004585505558274,4.4760801159875297e-05,5.332612386956613e-05,5.464201504432812e-05,5.650819922086393e-05,0.020575936489264618,0.0329026654269856
1,8,4,8,0.99,2.6666666666666665,89,,1,0.0009028334755204205,2.957750501885312e-05,0.00019277962957082306,5.871877316004195e-05,5.392215139636706e-05,8.37495147865213e-05,9.289253228929357e-05,0.020531507838149735,0.032919156555766396
2,8,4,8,0.999,2.6666666666666665,90,,2,0.0009081652734749705,3.1704951733860145e-05,0.00021908855718065522,6.340305499249744e-05,5.420211788299827e-05,9.209967044750277e-05,0.00010319869845075441,0.02059797949646216,0.032786292618368934
3,8,6,8,0.001,2.6666666666666665,91,,3,0.0015549018272562553,0.0013193348604685967,0.00010184157473567508,0.0005172792542626538,5.350266284201782e-05,0.0004979895880772359,0.0005688557979188693,-0.07068953520045075,0.3612029710063319
4,8,6,8,0.01,2.6666666666666665,92,,4,0.001799312296186326,0.0013547692613205522,0.0007876151304876336,0.0006002275658745726,2.1531946252856715e-05,0.0006910359759839038,0.0008177547159573002,-0.011758026127833434,0.10721066733262752
5,8,6,8,0.1,2.6666666666666665,93,,5,0.0009068110429048912,4.1578555149286784e-05,4.210141025109137e-05,7.011922855509564e-05,3.854431915285966e-05,4.808587827708336e-05,4.600391308478527e-05,0.03085304960754411,0.013624078096742875
6,8,6,8,0.2,2.6666666666666665,94,,6,0.000883981074458387,1.6213611629579627e-05,2.083797617080821e-05,4.718111990169702e-05,4.702745179900939e-05,3.2815039875273565e-05,2.8051957883580346e-05,0.02593348744666405,0.024503628402708193
7,8,6,8,0.3,2.6666666666666665,95,,7,0.0008771718008498522,7.156166210530855e-06,1.7872112180118318e-05,3.74172025459561e-05,4.901191416501062e-05,2.7864348775403973e-05,2.2747612248710847e-05,0.023875837672869854,0.028411936787535775
0,8,6,8,0.4,2.6666666666666665,96,,0,0.0008741103863431973,3.442949769267273e-06,1.9556853519056288e-05,3.2930356477567095e-05,4.969884068561884e-05,2.6407250112877376e-05,2.1438133956638842e-05,0.02264420914107552,0.030523046613810098
1,8,6,8,0.5,2.6666666666666665,97,,1,0.0008728368810518309,3.4616988855996247e-06,2.4449795012227545e-05,3.1554196027435356e-05,5.025902736990636e-05,2.743117932379222e-05,2.2939368532166008e-05,0.021838650466196083,0.031784933550605
2,8,6,8,0.6,2.6666666666666665,98,,2,0.0008743037005397361,5.458941774529352e-06,3.102636255676056e-05,3.21512168700611e-05,5.08469850219313e-05,2.9870876555820577e-05,2.5994801759095372e-05,0.02125355827824208,0.03263259344528737
3,8,6,8,0.7,2.6666666666666665,99,,3,0.0008771218595575803,8.671372859955793e-06,4.047915447258342e-05,3.436089100070807e-05,5.1497309096225725e-05,3.3752181857368253e-05,3.0693209127002044e-05,0.020794226783457635,0.033262045328708384
4,8,6,8,0.8,2.6666666666666665,100,,4,0.0008817529640042311,1.4218594682828856e-05,5.9940298590087096e-05,3.9234508659903014e-05,5.241184922072922e-05,4.145131278838705e-05,3.9994024071077356e-05,0.020494344783736393,0.033624312594874445
5,8,6,8,0.9,2.6666666666666665,101,,5,0.0008940065960775176,2.2692388277251428e-05,0.00010282107027358446,4.623162236765761e-05,5.315842756366063e-05,5.622587712053854e-05,5.840282783883167e-05,0.02027433744317629,0.03390192760171894
6,8,6,8,0.99,2.6666666666666665,102,,6,0.0009173323713309173,3.1521359222231034e-05,0.00020745165515184978,6.293651204052932e-05,5.3726238055286137e-05,8.890894111747407e-05,9.910146314066285e-05,0.020167734196300097,0.034038087968160435
7,8,6,8,0.999,2.6666666666666665,103,,7,0.0009247946763880988,3.291458393215253e-05,0.00023852839676470882,6.555669574119803e-05,5.3871548049365e-05,9.771780612185609e-05,0.00011038570086404763,0.020190682699196577,0.03398994341100532
