Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
2,4,8,8,0.99,2.6666666666666665,50,,2,0.019159699501628002,0.037310082453153204,0.000103578799645363,5.17893998226815e-06,3731819547890.7207
3,4,8,8,0.999,2.6666666666666665,51,,3,0.01922602061601643,0.03718487610013893,0.00011759123681082679,5.87956184054134e-06,4236670802266.202
4,4,10,8,0.001,2.6666666666666665,52,,4,-0.07195460277173471,0.36489247887135945,0.0004802930901350594,2.4014654506752968e-05,17304382254087.018
5,4,10,8,0.01,2.6666666666666665,53,,5,-0.012494330098151986,0.10933923098280884,0.0007360699204510475,3.680349602255238e-05,26519713755695.746
6,4,10,8,0.1,2.6666666666666665,54,,6,0.030669624412254674,0.014914761869167615,5.169795054276455e-05,2.5848975271382278e-06,1862614966401.7021
7,4,10,8,0.2,2.6666666666666665,55,,7,0.025497860002246835,0.026636705885273355,3.264621056068812e-05,1.632310528034406e-06,1176203693729.3901
0,4,10,8,0.3,2.6666666666666665,56,,0,0.023332132347388762,0.030864863080884826,2.6579848932903403e-05,1.3289924466451702e-06,957639981998.3027
1,4,10,8,0.4,2.6666666666666665,57,,1,0.021903145737392448,0.03337702300220871,2.344733117394575e-05,1.1723665586972875e-06,844779135502.5175
2,4,10,8,0.5,2.6666666666666665,58,,2,0.020980954050984636,0.034869165142615885,2.302141035396314e-05,1.151070517698157e-06,829433720733.2133
3,4,10,8,0.6,2.6666666666666665,59,,3,0.020395626948117473,0.03572142062622999,2.5097788027542753e-05,1.2548894013771376e-06,904243110469.3219
4,4,10,8,0.7,2.6666666666666665,60,,4,0.01986982251951546,0.03647194145817442,3.001393310993854e-05,1.5006966554969268e-06,1081365903758.7374
5,4,10,8,0.8,2.6666666666666665,61,,5,0.019570867152126192,0.03683402823135185,3.9956242087058274e-05,1.9978121043529138e-06,1439575335795.2078
6,4,10,8,0.9,2.6666666666666665,62,,6,0.019573155240690872,0.036696228203956745,5.727707630981934e-05,2.863853815490967e-06,2063624156206.1907
7,4,10,8,0.99,2.6666666666666665,63,,7,0.01972211742834585,0.036363677924080906,0.00010051649126233069,5.0258245631165344e-06,3621488260748.9775
0,4,10,8,0.999,2.6666666666666665,64,,0,0.019796419839068786,0.036223674113827514,0.00011119902807080026,5.559951403540013e-06,4006367211068.939
1,8,2,8,0.001,2.6666666666666665,65,,1,-0.07067018526718293,0.3605643144495573,0.00048158451547052864,2.4079225773526432e-05,17350910755363.79
2,8,2,8,0.01,2.6666666666666665,66,,2,-0.010378403192582174,0.10317722002946557,0.0007451208799983871,3.725604399991936e-05,26845808940053.7
3,8,2,8,0.1,2.6666666666666665,67,,3,0.03179150626028457,0.00993245165619519,3.511021147929974e-05,1.7555105739649868e-06,1264978682680.5889
4,8,2,8,0.2,2.6666666666666665,68,,4,0.026512653184363282,0.021510988120004813,2.1259466968541913e-05,1.0629733484270957e-06,765953020140.9658
5,8,2,8,0.3,2.6666666666666665,69,,5,0.0245018355778777,0.02538498476337493,1.7210692057559632e-05,8.605346028779816e-07,620080530697.7113
6,8,2,8,0.4,2.6666666666666665,70,,6,0.023364993806423946,0.027368425895894066,1.5994007466626204e-05,7.997003733313102e-07,576244848534.8696
7,8,2,8,0.5,2.6666666666666665,71,,7,0.022550577393657005,0.028694806249173203,1.6617061407170442e-05,8.308530703585221e-07,598692732490.6036
0,8,2,8,0.6,2.6666666666666665,72,,0,0.02201174807321353,0.029492448657491403,1.896740149582586e-05,9.483700747912931e-07,683372658470.3035
1,8,2,8,0.7,2.6666666666666665,73,,1,0.02159398308227261,0.030081282492190765,2.358965705182979e-05,1.1794828525914896e-06,849906965667.3475
2,8,2,8,0.8,2.6666666666666665,74,,2,0.021255979737081647,0.030557781805157187,3.422310287679271e-05,1.7111551438396356e-06,1233017226907.0864
3,8,2,8,0.9,2.6666666666666665,75,,3,0.021024122857243192,0.030880362444834813,5.4897607684695614e-05,2.7448803842347808e-06,1977894764098.6147
4,8,2,8,0.99,2.6666666666666665,76,,4,0.02114051995141295,0.030583368653552007,0.00010408313334228634,5.204156667114317e-06,3749990084286.995
5,8,2,8,0.999,2.6666666666666665,77,,5,0.021198774856900342,0.030463797479645737,0.00011506842757477047,5.753421378738524e-06,4145777020382.7617
6,8,4,8,0.001,2.6666666666666665,78,,6,-0.07067964841606472,0.3612440225422643,0.0004801697766049881,2.4008488830249406e-05,17299939415942.389
7,8,4,8,0.01,2.6666666666666665,79,,7,-0.011410232312281929,0.10619521765375452,0.0007402486787613661,3.70124339380683e-05,26670269390649.52
0,8,4,8,0.1,2.6666666666666665,80,,0,0.030934975072650743,0.013041286664134039,4.627615256010408e-05,2.313807628005204e-06,1667274107406.5996
1,8,4,8,0.2,2.6666666666666665,81,,1,0.02595662414647488,0.023977042357796914,2.9706598570025464e-05,1.4853299285012732e-06,1070293010003.2926
