Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
3,8,2,8,0.1,2.6666666666666665,67,,3,1.924528644297086e-06,1.0119303468451478e-07,1.0119303468451478e-07
4,8,2,8,0.2,2.6666666666666665,68,,4,1.156928481257166e-06,1.030612566233521e-07,1.030612566233521e-07
5,8,2,8,0.3,2.6666666666666665,69,,5,9.328315445691748e-07,1.079435967204934e-07,1.079435967204934e-07
6,8,2,8,0.4,2.6666666666666665,70,,6,8.65695455381692e-07,1.1026740069437232e-07,1.1026740069437232e-07
7,8,2,8,0.5,2.6666666666666665,71,,7,9.002703459640094e-07,1.1131521905562951e-07,1.1131521905562951e-07
0,8,2,8,0.6,2.6666666666666665,72,,0,1.0299417458596516e-06,1.1276196231520274e-07,1.1276196231520274e-07
1,8,2,8,0.7,2.6666666666666665,73,,1,1.284931587962101e-06,1.1583571014643811e-07,1.1583571014643811e-07
2,8,2,8,0.8,2.6666666666666665,74,,2,1.8717787478316524e-06,1.321687127470889e-07,1.321687127470889e-07
3,8,2,8,0.9,2.6666666666666665,75,,3,3.013839334675299e-06,1.885656775010477e-07,1.885656775010477e-07
4,8,2,8,0.99,2.6666666666666665,76,,4,5.733109742787703e-06,3.574142058628208e-07,3.574142058628208e-07
5,8,2,8,0.999,2.6666666666666665,77,,5,6.340819855924951e-06,3.9328503904139217e-07,3.9328503904139217e-07
6,8,4,8,0.001,2.6666666666666665,78,,6,2.6614867118135127e-05,1.9665611668404904e-06,1.9665611668404904e-06
7,8,4,8,0.01,2.6666666666666665,79,,7,4.069703945829859e-05,2.2170133027278815e-06,2.2170133027278815e-06
0,8,4,8,0.1,2.6666666666666665,80,,0,2.5401122240118745e-06,1.186830341000304e-07,1.186830341000304e-07
1,8,4,8,0.2,2.6666666666666665,81,,1,1.6213441939955614e-06,1.1686487512193479e-07,1.1686487512193479e-07
2,8,4,8,0.3,2.6666666666666665,82,,2,1.3942775995594933e-06,1.214558027294807e-07,1.214558027294807e-07
3,8,4,8,0.4,2.6666666666666665,83,,3,1.3718740388138343e-06,1.2464594793337838e-07,1.2464594793337838e-07
4,8,4,8,0.5,2.6666666666666665,84,,4,1.3897714061473692e-06,1.256000865053509e-07,1.256000865053509e-07
5,8,4,8,0.6,2.6666666666666665,85,,5,1.4868487904704322e-06,1.258172024883687e-07,1.258172024883687e-07
6,8,4,8,0.7,2.6666666666666665,86,,6,1.7455406103398832e-06,1.2656109916213564e-07,1.2656109916213564e-07
7,8,4,8,0.8,2.6666666666666665,87,,7,2.2274789797530876e-06,1.3455119880457357e-07,1.3455119880457357e-07
0,8,4,8,0.9,2.6666666666666665,88,,0,3.2798093764770558e-06,1.7599974024815926e-07,1.7599974024815926e-07
1,8,4,8,0.99,2.6666666666666665,89,,1,5.36282138314969e-06,3.0842088234056683e-07,3.0842088234056683e-07
2,8,4,8,0.999,2.6666666666666665,90,,2,5.956203304618004e-06,3.372108566464866e-07,3.372108566464866e-07
3,8,6,8,0.001,2.6666666666666665,91,,3,2.6585360674731838e-05,1.9640594954810763e-06,1.9640594954810763e-06
4,8,6,8,0.01,2.6666666666666665,92,,4,4.061235004676712e-05,2.2236275181644166e-06,2.2236275181644166e-06
5,8,6,8,0.1,2.6666666666666665,93,,5,2.5726297216273836e-06,1.1753706467170455e-07,1.1753706467170455e-07
6,8,6,8,0.2,2.6666666666666665,94,,6,1.6481052989363686e-06,1.1821075102963246e-07,1.1821075102963246e-07
7,8,6,8,0.3,2.6666666666666665,95,,7,1.378814379193962e-06,1.2448365058379103e-07,1.2448365058379103e-07
0,8,6,8,0.4,2.6666666666666665,96,,0,1.31794525063085e-06,1.27501468981482e-07,1.27501468981482e-07
1,8,6,8,0.5,2.6666666666666665,97,,1,1.4034711263417997e-06,1.3019961471878087e-07,1.3019961471878087e-07
2,8,6,8,0.6,2.6666666666666665,98,,2,1.571015856411037e-06,1.3447822638359101e-07,1.3447822638359101e-07
3,8,6,8,0.7,2.6666666666666665,99,,3,1.8294198590535938e-06,1.4173493213352922e-07,1.4173493213352922e-07
4,8,6,8,0.8,2.6666666666666665,100,,4,2.3454264056790117e-06,1.582911247701175e-07,1.582911247701175e-07
5,8,6,8,0.9,2.6666666666666665,101,,5,3.3766735690773404e-06,1.973583720858619e-07,1.973583720858619e-07
6,8,6,8,0.99,2.6666666666666665,102,,6,5.715317735443035e-06,3.2834754668082104e-07,3.2834754668082104e-07
7,8,6,8,0.999,2.6666666666666665,103,,7,6.3674900557503675e-06,3.746796246933377e-07,3.746796246933377e-07
0,8,8,8,0.001,2.6666666666666665,104,,0,2.659447624265053e-05,1.9645881169086308e-06,1.9645881169086308e-06
1,8,8,8,0.01,2.6666666666666665,105,,1,4.054801356637433e-05,2.2250435397156475e-06,2.2250435397156475e-06
2,8,8,8,0.1,2.6666666666666665,106,,2,2.759625465678333e-06,1.244347796149679e-07,1.244347796149679e-07
3,8,8,8,0.2,2.6666666666666665,107,,3,1.7853164346875027e-06,1.2287415836313415e-07,1.2287415836313415e-07
4,8,8,8,0.3,2.6666666666666665,108,,4,1.479667867690149e-06,1.2896415011593512e-07,1.2896415011593512e-07
5,8,8,8,0.4,2.6666666666666665,109,,5,1.3879459635669785e-06,1.3364964745181097e-07,1.3364964745181097e-07
6,8,8,8,0.5,2.6666666666666665,110,,6,1.4554732586511827e-06,1.3776348774718288e-07,1.3776348774718288e-07
7,8,8,8,0.6,2.6666666666666665,111,,7,1.6475781350711665e-06,1.4314488004758395e-07,1.4314488004758395e-07
0,8,8,8,0.7,2.6666666666666665,112,,0,1.8975350621911723e-06,1.4892317784974535e-07,1.4892317784974535e-07
1,8,8,8,0.8,2.6666666666666665,113,,1,2.3485188144910685e-06,1.565301070195794e-07,1.565301070195794e-07
2,8,8,8,0.9,2.6666666666666665,114,,2,3.361927828696065e-06,1.9909220527149875e-07,1.9909220527149875e-07
3,8,8,8,0.99,2.6666666666666665,115,,3,5.706751049530575e-06,3.5527870498821767e-07,3.5527870498821767e-07
4,8,8,8,0.999,2.6666666666666665,116,,4,6.277901216211523e-06,3.8125922212780753e-07,3.8125922212780753e-07
5,8,10,8,0.001,2.6666666666666665,117,,5,2.6608885668058203e-05,1.965686934459466e-06,1.965686934459466e-06
6,8,10,8,0.01,2.6666666666666665,118,,6,4.053876445903685e-05,2.225577215979349e-06,2.225577215979349e-06
7,8,10,8,0.1,2.6666666666666665,119,,7,2.8082915538472795e-06,1.252480360220738e-07,1.252480360220738e-07
0,8,10,8,0.2,2.6666666666666665,120,,0,1.843877207241121e-06,1.2459978331425721e-07,1.2459978331425721e-07
1,8,10,8,0.3,2.6666666666666665,121,,1,1.544082352726065e-06,1.3005266371956677e-07,1.3005266371956677e-07
2,8,10,8,0.4,2.6666666666666665,122,,2,1.4443144034441472e-06,1.3351470440579988e-07,1.3351470440579988e-07
3,8,10,8,0.5,2.6666666666666665,123,,3,1.4914260170517e-06,1.362479853801351e-07,1.362479853801351e-07
4,8,10,8,0.6,2.6666666666666665,124,,4,1.7040570892148658e-06,1.4073770110612584e-07,1.4073770110612584e-07
5,8,10,8,0.7,2.6666666666666665,125,,5,2.0258900560548614e-06,1.464696231173126e-07,1.464696231173126e-07
6,8,10,8,0.8,2.6666666666666665,126,,6,2.5322563150716504e-06,1.5675343031299164e-07,1.5675343031299164e-07
7,8,10,8,0.9,2.6666666666666665,127,,7,3.6646578074463967e-06,2.1413876209482014e-07,2.1413876209482014e-07
0,8,10,8,0.99,2.6666666666666665,128,,0,6.13333332852307e-06,3.83039672158674e-07,3.83039672158674e-07
1,8,10,8,0.999,2.6666666666666665,129,,1,6.7581200437097066e-06,4.1508682225686555e-07,4.1508682225686555e-07
2,16,2,8,0.001,2.6666666666666665,130,,2,2.6810855497423074e-05,1.987289693242897e-06,1.987289693242897e-06
3,16,2,8,0.01,2.6666666666666665,131,,3,4.083894181606105e-05,2.2206279771835513e-06,2.2206279771835513e-06
4,16,2,8,0.1,2.6666666666666665,132,,4,2.3224173752713017e-06,1.276102440351477e-07,1.276102440351477e-07
5,16,2,8,0.2,2.6666666666666665,133,,5,1.5961188963536343e-06,1.359089545215698e-07,1.359089545215698e-07
6,16,2,8,0.3,2.6666666666666665,134,,6,1.4671748112928963e-06,1.3742852910190613e-07,1.3742852910190613e-07
7,16,2,8,0.4,2.6666666666666665,135,,7,1.4855404822684138e-06,1.3619560652563269e-07,1.3619560652563269e-07
0,16,2,8,0.5,2.6666666666666665,136,,0,1.6445538338608415e-06,1.3680283433106922e-07,1.3680283433106922e-07
1,16,2,8,0.6,2.6666666666666665,137,,1,1.9521885020079013e-06,1.3957688751703933e-07,1.3957688751703933e-07
2,16,2,8,0.7,2.6666666666666665,138,,2,2.2894299123797487e-06,1.4137254501138587e-07,1.4137254501138587e-07
3,16,2,8,0.8,2.6666666666666665,139,,3,2.884209218635843e-06,1.526515008264481e-07,1.526515008264481e-07
4,16,2,8,0.9,2.6666666666666665,140,,4,4.156120620020621e-06,2.083171851733042e-07,2.083171851733042e-07
5,16,2,8,0.99,2.6666666666666665,141,,5,7.053263844604028e-06,4.2996530572040776e-07,4.2996530572040776e-07
6,16,2,8,0.999,2.6666666666666665,142,,6,8.083947615991942e-06,4.942126302727529e-07,4.942126302727529e-07
7,16,4,8,0.001,2.6666666666666665,143,,7,2.6797632122347997e-05,1.975962802662247e-06,1.975962802662247e-06
0,16,4,8,0.01,2.6666666666666665,144,,0,4.07851644119223e-05,2.216774936194718e-06,2.216774936194718e-06
1,16,4,8,0.1,2.6666666666666665,145,,1,2.5766322712366287e-06,1.3146024056199772e-07,1.3146024056199772e-07
2,16,4,8,0.2,2.6666666666666665,146,,2,1.8536083016729273e-06,1.42712166274032e-07,1.42712166274032e-07
3,16,4,8,0.3,2.6666666666666665,147,,3,1.7069143196849312e-06,1.466316200858424e-07,1.466316200858424e-07
4,16,4,8,0.4,2.6666666666666665,148,,4,1.674486732582696e-06,1.444654198403952e-07,1.444654198403952e-07
5,16,4,8,0.5,2.6666666666666665,149,,5,1.7408183247820817e-06,1.4241674382932426e-07,1.4241674382932426e-07
6,16,4,8,0.6,2.6666666666666665,150,,6,1.9048155343824447e-06,1.4291306385950722e-07,1.4291306385950722e-07
7,16,4,8,0.7,2.6666666666666665,151,,7,2.1481414288968315e-06,1.444223194551145e-07,1.444223194551145e-07
0,16,4,8,0.8,2.6666666666666665,152,,0,2.6062404803548463e-06,1.49873439238567e-07,1.49873439238567e-07
1,16,4,8,0.9,2.6666666666666665,153,,1,3.5391773752328635e-06,1.9135772908288681e-07,1.9135772908288681e-07
2,16,4,8,0.99,2.6666666666666665,154,,2,6.181536231232015e-06,3.876373819320073e-07,3.876373819320073e-07
3,16,4,8,0.999,2.6666666666666665,155,,3,7.207410617078655e-06,4.4375910136683914e-07,4.4375910136683914e-07
4,16,6,8,0.001,2.6666666666666665,156,,4,2.677308394631927e-05,1.978535339039056e-06,1.978535339039056e-06
5,16,6,8,0.01,2.6666666666666665,157,,5,4.066347523981428e-05,2.220292383264587e-06,2.220292383264587e-06
6,16,6,8,0.1,2.6666666666666665,158,,6,3.0383372680732674e-06,1.3828049005443994e-07,1.3828049005443994e-07
7,16,6,8,0.2,2.6666666666666665,159,,7,2.3316564397704016e-06,1.545765040148701e-07,1.545765040148701e-07
0,16,6,8,0.3,2.6666666666666665,160,,0,2.2322904046052556e-06,1.673039307908911e-07,1.673039307908911e-07
1,16,6,8,0.4,2.6666666666666665,161,,1,2.229166501693889e-06,1.7365927699167507e-07,1.7365927699167507e-07
2,16,6,8,0.5,2.6666666666666665,162,,2,2.2770051583148043e-06,1.7966076240882352e-07,1.7966076240882352e-07
3,16,6,8,0.6,2.6666666666666665,163,,3,2.334729171671595e-06,1.8312189386580756e-07,1.8312189386580756e-07
4,16,6,8,0.7,2.6666666666666665,164,,4,2.5719547290154364e-06,1.9093091101627598e-07,1.9093091101627598e-07
5,16,6,8,0.8,2.6666666666666665,165,,5,2.974761519608217e-06,1.967012325621278e-07,1.967012325621278e-07
6,16,6,8,0.9,2.6666666666666665,166,,6,4.018164224053554e-06,2.1318624549941208e-07,2.1318624549941208e-07
7,16,6,8,0.99,2.6666666666666665,167,,7,6.3569341267164175e-06,3.607225717249282e-07,3.607225717249282e-07
0,16,6,8,0.999,2.6666666666666665,168,,0,6.910279202296121e-06,4.1084252634321457e-07,4.1084252634321457e-07
1,16,8,8,0.001,2.6666666666666665,169,,1,2.6801982058564393e-05,1.979983645592289e-06,1.979983645592289e-06
2,16,8,8,0.01,2.6666666666666665,170,,2,4.06272374005329e-05,2.2219507072836807e-06,2.2219507072836807e-06
3,16,8,8,0.1,2.6666666666666665,171,,3,2.912061799714548e-06,1.371648238154331e-07,1.371648238154331e-07
4,16,8,8,0.2,2.6666666666666665,172,,4,2.0570769051246576e-06,1.4165782132738363e-07,1.4165782132738363e-07
5,16,8,8,0.3,2.6666666666666665,173,,5,1.8913469424317547e-06,1.4805476755850294e-07,1.4805476755850294e-07
6,16,8,8,0.4,2.6666666666666665,174,,6,1.8944425653705671e-06,1.5155546542794823e-07,1.5155546542794823e-07
