n_fam,nt_norm,sample_id
8,0.9507176506957837,45
18,1.1075071787025952,45
38,1.204131354730152,45
1,0.8326141793569466,46
3,1.3101718015654547,46
8,1.923483382757191,46
18,2.207866073348563,46
38,2.273838824690535,46
1,1.160245506519875,47
3,1.7373303253293078,47
8,2.081003764225051,47
18,2.116615894755932,47
38,2.116993115286756,47
1,0.9725245289422553,48
3,1.3760411463841444,48
8,1.9134620704880496,48
18,2.201330177285377,48
38,2.2480969051009385,48
1,0.4292073648059902,49
3,0.613842254568985,49
8,0.7886486452116841,49
18,0.8911976971601254,49
38,0.9483648453043554,49
