,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,3.972499226589748e-06,341,0.01,50.0,,13,5013
0,3.179915636774682e-06,342,0.1,1e-06,,13,13
0,3.179915621289198e-06,343,0.1,1e-06,,13,15
0,3.179915559347382e-06,344,0.1,1e-06,,13,23
0,3.1799152496412183e-06,345,0.1,1e-06,,13,63
0,3.179911765781873e-06,346,0.1,1e-06,,13,513
0,3.179876960993241e-06,347,0.1,1e-06,,13,5013
0,2.998529738459033e-06,348,0.1,1e-05,,13,13
0,2.998529557871526e-06,349,0.1,1e-05,,13,15
0,2.998528835535699e-06,350,0.1,1e-05,,13,23
0,2.9985252241972682e-06,351,0.1,1e-05,,13,63
0,2.998484635729342e-06,352,0.1,1e-05,,13,513
0,2.9980826607346854e-06,353,0.1,1e-05,,13,5013
0,2.8134127851166654e-06,354,0.1,0.0001,,13,13
0,2.813410620211074e-06,355,0.1,0.0001,,13,15
0,2.813401962294386e-06,356,0.1,0.0001,,13,23
0,2.8133587136060755e-06,357,0.1,0.0001,,13,63
0,2.8128768158311143e-06,358,0.1,0.0001,,13,513
0,2.8084847990304202e-06,359,0.1,0.0001,,13,5013
0,2.681687275317627e-06,360,0.1,0.001,,13,13
0,2.6816605623184085e-06,361,0.1,0.001,,13,15
0,2.681553920853901e-06,362,0.1,0.001,,13,23
0,2.6810257158726684e-06,363,0.1,0.001,,13,63
0,2.675605567772262e-06,364,0.1,0.001,,13,513
0,2.6478710957612852e-06,365,0.1,0.001,,13,5013
0,2.5247743063216194e-06,366,0.1,0.01,,13,13
0,2.524432961422787e-06,367,0.1,0.01,,13,15
0,2.5230935827020013e-06,368,0.1,0.01,,13,23
0,2.51696447779465e-06,369,0.1,0.01,,13,63
0,2.4810576492541872e-06,370,0.1,0.01,,13,513
0,2.442982972004683e-06,371,0.1,0.01,,13,5013
0,2.3330411850085548e-06,372,0.1,0.1,,13,13
0,2.3296947318426207e-06,373,0.1,0.1,,13,15
0,2.3181433985036436e-06,374,0.1,0.1,,13,23
0,2.2847943402495464e-06,375,0.1,0.1,,13,63
0,2.2348962350606365e-06,376,0.1,0.1,,13,513
0,2.223343704771312e-06,377,0.1,0.1,,13,5013
0,2.3447692416890047e-06,378,0.1,0.2,,13,13
0,2.339536053286925e-06,379,0.1,0.2,,13,15
0,2.322970180157661e-06,380,0.1,0.2,,13,23
0,2.285132568627324e-06,381,0.1,0.2,,13,63
0,2.246243666398439e-06,382,0.1,0.2,,13,513
0,2.2392728862665405e-06,383,0.1,0.2,,13,5013
0,2.384326610719339e-06,384,0.1,0.3,,13,13
0,2.378141955290771e-06,385,0.1,0.3,,13,15
0,2.359656880679447e-06,386,0.1,0.3,,13,23
0,2.322763065451747e-06,387,0.1,0.3,,13,63
0,2.2910684643041186e-06,388,0.1,0.3,,13,513
0,2.285952963904866e-06,389,0.1,0.3,,13,5013
0,2.428923437503477e-06,390,0.1,0.4,,13,13
0,2.422281926574527e-06,391,0.1,0.4,,13,15
0,2.4032319630831538e-06,392,0.1,0.4,,13,23
0,2.3684500641126795e-06,393,0.1,0.4,,13,63
0,2.3416162705934394e-06,394,0.1,0.4,,13,513
0,2.337528655936368e-06,395,0.1,0.4,,13,5013
0,2.4728735710705803e-06,396,0.1,0.5,,13,13
0,2.4660435342351646e-06,397,0.1,0.5,,13,15
0,2.4470531166948957e-06,398,0.1,0.5,,13,23
0,2.414521712720805e-06,399,0.1,0.5,,13,63
0,2.3911785121548174e-06,400,0.1,0.5,,13,513
0,2.38775134630724e-06,401,0.1,0.5,,13,5013
0,2.5144631823340447e-06,402,0.1,0.6,,13,13
0,2.5075943563813713e-06,403,0.1,0.6,,13,15
0,2.488957567977903e-06,404,0.1,0.6,,13,23
0,2.4585344464894407e-06,405,0.1,0.6,,13,63
0,2.4378206055567974e-06,406,0.1,0.6,,13,513
0,2.434856552985844e-06,407,0.1,0.6,,13,5013
0,2.5532343357509486e-06,408,0.1,0.7,,13,13
0,2.5464116328116597e-06,409,0.1,0.7,,13,15
0,2.528262985379913e-06,410,0.1,0.7,,13,23
0,2.499738670617581e-06,411,0.1,0.7,,13,63
0,2.4810788495460712e-06,412,0.1,0.7,,13,513
0,2.4784588938276807e-06,413,0.1,0.7,,13,5013
0,2.5891806841738666e-06,414,0.1,0.8,,13,13
0,2.5824522034586122e-06,415,0.1,0.8,,13,15
0,2.5648455696259692e-06,416,0.1,0.8,,13,23
0,2.5380098917028236e-06,417,0.1,0.8,,13,63
0,2.521000603300919e-06,418,0.1,0.8,,13,513
0,2.5186470890806027e-06,419,0.1,0.8,,13,5013
0,2.622462100078218e-06,420,0.1,0.9,,13,13
0,2.615854386111224e-06,421,0.1,0.9,,13,15
0,2.598801833949597e-06,422,0.1,0.9,,13,23
0,2.5734640564353233e-06,423,0.1,0.9,,13,63
0,2.5578111847404125e-06,424,0.1,0.9,,13,513
0,2.5556704705953606e-06,425,0.1,0.9,,13,5013
0,2.65329269599899e-06,426,0.1,1.0,,13,13
0,2.6468193834353486e-06,427,0.1,1.0,,13,15
0,2.6303112206075023e-06,428,0.1,1.0,,13,23
0,2.606304397191265e-06,429,0.1,1.0,,13,63
0,2.591786755613969e-06,430,0.1,1.0,,13,513
0,2.589820148239469e-06,431,0.1,1.0,,13,5013
0,3.1219765289814112e-06,432,0.1,5.0,,13,13
0,3.118446795616212e-06,433,0.1,5.0,,13,15
0,3.110518488839536e-06,434,0.1,5.0,,13,23
0,3.1012162917303406e-06,435,0.1,5.0,,13,63
0,3.096601704862233e-06,436,0.1,5.0,,13,513
0,3.0960261929922307e-06,437,0.1,5.0,,13,5013
0,3.254689187143131e-06,438,0.1,10.0,,13,13
0,3.251995459743676e-06,439,0.1,10.0,,13,15
0,3.2461348509220506e-06,440,0.1,10.0,,13,23
0,3.239608639583865e-06,441,0.1,10.0,,13,63
0,3.2365194311875646e-06,442,0.1,10.0,,13,513
0,3.236141366183151e-06,443,0.1,10.0,,13,5013
0,3.3367862122424847e-06,444,0.1,20.0,,13,13
0,3.3345820183726585e-06,445,0.1,20.0,,13,15
