Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
153,8,2,0.85,8,0.2,0.0001,2.6666666666666665,153,,1,2.752408122395349e-06,1.341719272355679e-07,1.341719272355679e-07
154,8,2,0.85,8,0.2,1e-05,2.6666666666666665,154,,2,2.817107674600547e-06,1.3195345912888243e-07,1.3195345912888243e-07
155,8,2,0.85,8,0.2,1e-06,2.6666666666666665,155,,3,2.857057648155899e-06,1.3499495047721564e-07,1.3499495047721564e-07
156,8,2,0.85,8,0.3,0.1,2.6666666666666665,156,,4,6.034676682963375e-06,4.5034377938792165e-07,4.5034377938792165e-07
157,8,2,0.85,8,0.3,0.01,2.6666666666666665,157,,5,4.17913546946087e-06,3.605454569090491e-07,3.605454569090491e-07
158,8,2,0.85,8,0.3,0.001,2.6666666666666665,158,,6,2.998727806946944e-06,2.1730315659557158e-07,2.1730315659557158e-07
159,8,2,0.85,8,0.3,0.0001,2.6666666666666665,159,,7,2.772807822855494e-06,1.6360580938857706e-07,1.6360580938857706e-07
160,8,2,0.85,8,0.3,1e-05,2.6666666666666665,160,,0,2.762501022130517e-06,1.4236761092420512e-07,1.4236761092420512e-07
161,8,2,0.85,8,0.3,1e-06,2.6666666666666665,161,,1,2.7792881628919827e-06,1.344911505581078e-07,1.344911505581078e-07
162,8,2,0.85,8,0.4,0.1,2.6666666666666665,162,,2,7.532836331250712e-06,5.252852714224974e-07,5.252852714224974e-07
163,8,2,0.85,8,0.4,0.01,2.6666666666666665,163,,3,5.215585978590602e-06,4.49384731975142e-07,4.49384731975142e-07
164,8,2,0.85,8,0.4,0.001,2.6666666666666665,164,,4,3.6901588105659854e-06,2.945075586753196e-07,2.945075586753196e-07
165,8,2,0.85,8,0.4,0.0001,2.6666666666666665,165,,5,2.958060145275133e-06,2.0649619028540217e-07,2.0649619028540217e-07
166,8,2,0.85,8,0.4,1e-05,2.6666666666666665,166,,6,2.7733634021684092e-06,1.6518569900025215e-07,1.6518569900025215e-07
167,8,2,0.85,8,0.4,1e-06,2.6666666666666665,167,,7,2.7452362796726475e-06,1.4511176124352037e-07,1.4511176124352037e-07
168,8,2,0.85,8,0.5,0.1,2.6666666666666665,168,,0,9.403050091585412e-06,6.454880944409619e-07,6.454880944409619e-07
169,8,2,0.85,8,0.5,0.01,2.6666666666666665,169,,1,5.951628385790976e-06,5.060213346104438e-07,5.060213346104438e-07
170,8,2,0.85,8,0.5,0.001,2.6666666666666665,170,,2,4.588741277517447e-06,3.77808373660811e-07,3.77808373660811e-07
171,8,2,0.85,8,0.5,0.0001,2.6666666666666665,171,,3,3.431889926684571e-06,2.632531573385728e-07,2.632531573385728e-07
172,8,2,0.85,8,0.5,1e-05,2.6666666666666665,172,,4,2.9230679760616965e-06,2.0138312253367622e-07,2.0138312253367622e-07
173,8,2,0.85,8,0.5,1e-06,2.6666666666666665,173,,5,2.759647114002555e-06,1.6662667669740814e-07,1.6662667669740814e-07
174,8,2,0.85,8,0.6,0.1,2.6666666666666665,174,,6,1.2049185373753163e-05,8.505043311239987e-07,8.505043311239987e-07
175,8,2,0.85,8,0.6,0.01,2.6666666666666665,175,,7,6.421689198344457e-06,5.34190537238664e-07,5.34190537238664e-07
176,8,2,0.85,8,0.6,0.001,2.6666666666666665,176,,0,5.470440139443412e-06,4.575013084415916e-07,4.575013084415916e-07
177,8,2,0.85,8,0.6,0.0001,2.6666666666666665,177,,1,4.190438657649817e-06,3.325318513630687e-07,3.325318513630687e-07
178,8,2,0.85,8,0.6,1e-05,2.6666666666666665,178,,2,3.3561379458386548e-06,2.530024040876862e-07,2.530024040876862e-07
179,8,2,0.85,8,0.6,1e-06,2.6666666666666665,179,,3,2.9325510111782246e-06,2.0376991701903542e-07,2.0376991701903542e-07
180,8,2,0.85,8,0.7,0.1,2.6666666666666665,180,,4,1.565905641376075e-05,1.164911303514686e-06,1.164911303514686e-06
181,8,2,0.85,8,0.7,0.01,2.6666666666666665,181,,5,6.733419587276991e-06,5.429781847411544e-07,5.429781847411544e-07
182,8,2,0.85,8,0.7,0.001,2.6666666666666665,182,,6,6.137378278215809e-06,5.188784244135991e-07,5.188784244135991e-07
183,8,2,0.85,8,0.7,0.0001,2.6666666666666665,183,,7,5.081478086408448e-06,4.125760896374884e-07,4.125760896374884e-07
184,8,2,0.85,8,0.7,1e-05,2.6666666666666665,184,,0,4.091261497398476e-06,3.1867015846387794e-07,3.1867015846387794e-07
