Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
112,8,2,0.825,8,0.6,1e-05,2.6666666666666665,112,,0,0.004029566098692038,0.03812618811527292,7.508204465184808e-05,3.754102232592404e-06,0.008572765808229561
113,8,2,0.825,8,0.6,1e-06,2.6666666666666665,113,,1,0.0031816734616941806,0.04526336386196226,6.38059107398805e-05,3.190295536994025e-06,0.007285272164472562
114,8,2,0.825,8,0.7,0.1,2.6666666666666665,114,,2,0.08006369790879204,-0.7549594709782104,0.0002680115689889665,1.3400578449448325e-05,0.030601196670821035
115,8,2,0.825,8,0.7,0.01,2.6666666666666665,115,,3,0.02666114566122267,-0.1959131970382042,0.00014989127712174545,7.494563856087273e-06,0.01711438229232523
116,8,2,0.825,8,0.7,0.001,2.6666666666666665,116,,4,0.010198767506008897,-0.02430672082518431,0.00012771076054658194,6.385538027329097e-06,0.0145818410571186
117,8,2,0.825,8,0.7,0.0001,2.6666666666666665,117,,5,0.00605778576362531,0.01697112815806867,0.00010809527064736044,5.404763532368022e-06,0.012342171081434483
118,8,2,0.825,8,0.7,1e-05,2.6666666666666665,118,,6,0.004317675628528916,0.03142781097300086,9.233586870102204e-05,4.616793435051102e-06,0.010542783987087542
119,8,2,0.825,8,0.7,1e-06,2.6666666666666665,119,,7,0.003360284224970673,0.03928434792966029,7.969460825732954e-05,3.984730412866477e-06,0.009099422051392782
120,8,2,0.825,8,0.8,0.1,2.6666666666666665,120,,0,0.09339976154370261,-0.895207819825895,0.00034760965488191803,1.73804827440959e-05,0.03968959792984054
121,8,2,0.825,8,0.8,0.01,2.6666666666666665,121,,1,0.042649204822230405,-0.362706957552296,0.00017116531340932093,8.558265670466046e-06,0.019543422840366205
122,8,2,0.825,8,0.8,0.001,2.6666666666666665,122,,2,0.013458132794015438,-0.059267850375301134,0.0001394672328431361,6.973361642156805e-06,0.015924179084760695
123,8,2,0.825,8,0.8,0.0001,2.6666666666666665,123,,3,0.007049659903544258,0.004027346854677528,0.0001263816779644842,6.3190838982242105e-06,0.014430088214359003
124,8,2,0.825,8,0.8,1e-05,2.6666666666666665,124,,4,0.004794012707424485,0.022795212142083063,0.0001099274737015651,5.4963736850782546e-06,0.012551369535867262
125,8,2,0.825,8,0.8,1e-06,2.6666666666666665,125,,5,0.003634331496772345,0.031976173500845924,9.803934695726605e-05,4.901967347863302e-06,0.011193999382323929
126,8,2,0.825,8,0.9,0.1,2.6666666666666665,126,,6,0.09881306036625029,-0.9528588516410665,0.00043086128300351086,2.1543064150175542e-05,0.04919515567469967
127,8,2,0.825,8,0.9,0.01,2.6666666666666665,127,,7,0.08296362248080359,-0.7834171235047097,0.0002611837950535019,1.3059189752675095e-05,0.029821610723053015
128,8,2,0.825,8,0.9,0.001,2.6666666666666665,128,,0,0.025820780067951892,-0.1886147201587204,0.00015074353786612428,7.537176893306214e-06,0.017211692265741454
129,8,2,0.825,8,0.9,0.0001,2.6666666666666665,129,,1,0.009901459035608814,-0.02825569690778105,0.00013812671343045116,6.906335671522558e-06,0.01577112040022938
130,8,2,0.825,8,0.9,1e-05,2.6666666666666665,130,,2,0.00588528235881918,0.0066737757511503085,0.00013192295059082874,6.596147529541437e-06,0.015062783191240344
131,8,2,0.825,8,0.9,1e-06,2.6666666666666665,131,,3,0.004220995614827668,0.02015841756727206,0.00012054454624512361,6.0272273122561805e-06,0.013763612448363265
132,8,2,0.85,8,0.0,0.1,2.6666666666666665,132,,4,0.010432389921125308,0.004105376610447225,0.0004200106293161512,2.100053146580756e-05,0.0479562427846836
133,8,2,0.85,8,0.0,0.01,2.6666666666666665,133,,5,0.006750257321962979,0.03948971440182862,0.0003316583780268789,1.6582918901343947e-05,0.03786830281921096
134,8,2,0.85,8,0.0,0.001,2.6666666666666665,134,,6,0.0049405570874311855,0.051278805935425706,0.0003157184431168216,1.578592215584108e-05,0.03604830271644364
135,8,2,0.85,8,0.0,0.0001,2.6666666666666665,135,,7,0.0038803640021569732,0.056211794179108196,0.000333272787832623,1.666363939163115e-05,0.03805263393655504
136,8,2,0.85,8,0.0,1e-05,2.6666666666666665,136,,0,0.003207835441047676,0.05908619823918154,0.00034896203385612604,1.7448101692806302e-05,0.039844010722987266
137,8,2,0.85,8,0.0,1e-06,2.6666666666666665,137,,1,0.0027367107122880097,0.061079585178338225,0.00036082484981408785,1.804124249070439e-05,0.04119849092534856
138,8,2,0.85,8,0.01,0.1,2.6666666666666665,138,,2,0.013818034065834432,-0.023948535830576868,8.770691275064783e-05,4.385345637532391e-06,0.010014256088264636
139,8,2,0.85,8,0.01,0.01,2.6666666666666665,139,,3,0.007746610120747682,0.03275882617187764,0.00013536893992928222,6.768446996464111e-06,0.015456241570180353
140,8,2,0.85,8,0.01,0.001,2.6666666666666665,140,,4,0.005454134438253658,0.04882396532983149,0.0001790477853814713,8.952389269073566e-06,0.020443432776437058
141,8,2,0.85,8,0.01,0.0001,2.6666666666666665,141,,5,0.004257432874277383,0.0546073282452398,0.00022084160433842107,1.1042080216921054e-05,0.025215394219560285
142,8,2,0.85,8,0.01,1e-05,2.6666666666666665,142,,6,0.0035035819360261684,0.05785095621042203,0.0002525666574822042,1.2628332874110212e-05,0.028837717667415344
143,8,2,0.85,8,0.01,1e-06,2.6666666666666665,143,,7,0.0029743203670383467,0.06009178612752211,0.0002765269202827858,1.3826346014139292e-05,0.03157346790764225
144,8,2,0.85,8,0.1,0.1,2.6666666666666665,144,,0,0.023322698616608212,-0.1255701223517237,5.263173726736191e-05,2.6315868633680958e-06,0.006009420225109118
145,8,2,0.85,8,0.1,0.01,2.6666666666666665,145,,1,0.009576421918318466,0.00869452089923457,4.204856635949023e-05,2.1024283179745115e-06,0.004801048155297364
146,8,2,0.85,8,0.1,0.001,2.6666666666666665,146,,2,0.0058981009533808845,0.04294483850572085,4.553750594179853e-05,2.2768752970899263e-06,0.005199410534703545
147,8,2,0.85,8,0.1,0.0001,2.6666666666666665,147,,3,0.004332074350565684,0.05325198678339629,4.782435219842409e-05,2.3912176099212046e-06,0.0054605195320461585
148,8,2,0.85,8,0.1,1e-05,2.6666666666666665,148,,4,0.0034764612313490147,0.05739488393422424,4.9589417094823695e-05,2.479470854741185e-06,0.005662052242873691
149,8,2,0.85,8,0.1,1e-06,2.6666666666666665,149,,5,0.0029237902590122733,0.059878637030374715,5.207282192653693e-05,2.6036410963268462e-06,0.005945604031161055
